"","UNITID","CONTROL","HIGHDEG"
"692",129482,3,1
"693",129491,2,4
"694",129525,2,4
"695",129534,2,4
"696",129543,1,2
"697",129613,3,2
"698",129640,3,1
"699",129686,2,3
"700",129695,1,2
"701",129729,1,2
"702",129756,1,2
"703",129774,2,3
"704",129808,1,2
"705",129923,3,1
"706",129932,3,1
"707",129941,2,4
"708",129969,3,1
"709",130004,1,2
"710",130040,1,2
"711",130110,3,3
"712",130129,3,1
"713",130174,3,1
"714",130183,3,4
"715",130217,1,2
"716",130226,2,4
"717",130253,2,4
"718",130314,2,4
"719",130396,1,2
"720",130448,2,2
"721",130493,1,4
"722",130509,3,1
"723",130581,3,4
"724",130590,2,4
"725",130606,1,2
"726",130624,1,3
"727",130697,2,4
"728",130776,1,4
"729",130785,2,4
"730",130794,2,4
"731",130837,2,1
"732",130873,3,1
"733",130891,1,2
"734",130907,1,2
"735",130916,1,2
"736",130934,1,4
"737",130943,1,4
"738",130989,2,4
"739",131061,3,1
"740",131098,2,4
"741",131113,2,4
"742",131159,2,4
"743",131283,2,4
"744",131308,2,4
"745",131399,1,4
"746",131405,2,4
"747",131450,2,4
"748",131469,2,4
"749",131496,2,4
"750",131520,2,4
"751",131566,3,1
"752",131742,3,1
"753",131803,3,4
"754",131830,2,1
"755",131876,2,4
"756",131973,2,4
"757",132268,3,1
"758",132338,3,3
"759",132374,1,1
"760",132408,2,3
"761",132471,2,4
"762",132523,1,4
"763",132602,2,4
"764",132657,2,4
"765",132666,3,1
"766",132675,1,1
"767",132693,1,2
"768",132709,1,2
"769",132806,3,2
"770",132842,2,4
"771",132851,1,2
"772",132879,2,3
"773",132903,1,4
"774",132976,1,1
"775",133021,1,3
"776",133085,2,4
"777",133155,1,1
"778",133386,1,3
"779",133465,3,4
"780",133492,2,3
"781",133508,1,3
"782",133526,2,3
"783",133553,2,4
"784",133650,1,4
"785",133669,1,4
"786",133702,1,3
"787",133711,2,3
"788",133809,2,3
"789",133845,3,2
"790",133854,3,1
"791",133863,3,1
"792",133872,2,4
"793",133881,2,4
"794",133942,3,1
"795",133951,1,4
"796",133960,1,2
"797",133979,2,4
"798",133997,3,3
"799",134024,3,1
"800",134079,2,4
"801",134097,1,4
"802",134112,3,2
"803",134121,3,2
"804",134130,1,4
"805",134149,3,4
"806",134228,3,1
"807",134237,3,4
"808",134291,1,1
"809",134307,1,1
"810",134343,1,2
"811",134422,3,2
"812",134495,1,2
"813",134510,2,3
"814",134529,3,1
"815",134574,3,1
"816",134608,1,3
"817",134680,3,4
"818",134714,3,1
"819",134811,3,4
"820",134875,3,2
"821",134909,3,3
"822",134945,2,4
"823",135063,2,3
"824",135081,3,4
"825",135124,3,2
"826",135142,3,1
"827",135160,1,2
"828",135179,1,1
"829",135188,1,2
"830",135267,1,1
"831",135276,1,1
"832",135294,1,1
"833",135337,3,1
"834",135364,2,4
"835",135391,1,2
"836",135407,1,1
"837",135416,3,1
"838",135434,3,1
"839",135522,1,1
"840",135610,2,4
"841",135647,1,1
"842",135717,1,3
"843",135726,2,4
"844",135735,1,1
"845",135771,3,1
"846",135939,3,3
"847",135957,3,2
"848",136011,3,2
"849",136048,3,1
"850",136066,3,3
"851",136075,3,2
"852",136109,3,1
"853",136145,1,2
"854",136172,1,4
"855",136206,2,3
"856",136215,2,4
"857",136233,1,3
"858",136251,3,1
"859",136288,3,4
"860",136303,1,1
"861",136330,2,4
"862",136358,1,2
"863",136400,1,2
"864",136473,1,2
"865",136491,1,1
"866",136516,1,2
"867",136659,1,1
"868",136701,2,4
"869",136738,3,1
"870",136747,3,1
"871",136765,1,1
"872",136774,2,3
"873",136783,3,1
"874",136826,1,1
"875",136950,2,4
"876",137023,1,1
"877",137032,2,4
"878",137078,1,3
"879",137087,1,1
"880",137096,1,2
"881",137120,1,1
"882",137148,3,4
"883",137209,1,2
"884",137245,1,1
"885",137272,2,4
"886",137281,1,2
"887",137315,1,2
"888",137351,1,4
"889",137476,2,4
"890",137537,3,2
"891",137546,2,4
"892",137564,2,4
"893",137591,3,1
"894",137713,1,1
"895",137759,1,2
"896",137777,2,4
"897",137801,3,4
"898",137810,3,4
"899",137847,2,4
"900",137856,1,1
"901",137865,1,1
"902",137892,3,1
"903",137953,2,4
"904",137962,2,3
"905",138132,3,1
"906",138187,1,2
"907",138275,2,4
"908",138284,1,1
"909",138293,2,4
"910",138309,3,3
"911",138354,1,4
"912",138372,1,1
"913",138479,1,1
"914",138488,1,1
"915",138497,1,1
"916",138558,1,3
"917",138594,3,1
"918",138600,2,4
"919",138655,3,2
"920",138664,3,1
"921",138682,1,2
"922",138691,1,2
"923",138716,1,4
"924",138761,2,2
"925",138789,1,4
"926",138813,3,3
"927",138822,3,1
"928",138840,1,2
"929",138868,2,3
"930",138901,1,2
"931",138929,3,4
"932",138938,3,1
"933",138947,2,4
"934",138956,1,2
"935",138983,1,4
"936",139010,1,2
"937",139074,3,3
"938",139092,3,1
"939",139144,2,4
"940",139153,2,4
"941",139199,2,4
"942",139205,2,3
"943",139214,3,1
"944",139250,1,2
"945",139278,1,2
"946",139287,2,3
"947",139311,1,4
"948",139348,2,4
"949",139357,1,2
"950",139366,1,4
"951",139384,1,2
"952",139393,2,4
"953",139463,1,3
"954",139506,3,1
"955",139533,3,4
"956",139579,3,4
"957",139621,1,2
"958",139630,2,3
"959",139658,2,4
"960",139700,1,2
"961",139719,1,4
"962",139746,1,1
"963",139755,1,4
"964",139764,1,4
"965",139773,1,3
"966",139861,1,4
"967",139904,1,2
"968",139931,1,4
"969",139940,1,4
"970",139959,1,4
"971",139968,1,3
"972",139986,1,2
"973",139995,2,2
"974",140003,3,2
"975",140012,1,2
"976",140076,1,2
"977",140085,1,2
"978",140146,2,4
"979",140164,1,4
"980",140234,2,4
"981",140243,1,2
"982",140252,2,4
"983",140304,1,2
"984",140322,1,3
"985",140331,1,2
"986",140340,3,3
"987",140401,1,4
"988",140447,2,4
"989",140483,1,3
"990",140553,2,3
"991",140562,2,4
"992",140599,1,2
"993",140669,1,4
"994",140678,1,2
"995",140696,2,4
"996",140720,2,3
"997",140818,2,4
"998",140827,3,1
"999",140872,2,4
"1000",140942,1,2
"1001",140951,2,4
"1002",140960,1,4
"1003",140988,2,3
"1004",140997,1,2
"1005",141006,1,2
"1006",141015,3,1
"1007",141060,2,3
"1008",141097,1,4
"1009",141158,1,2
"1010",141167,2,4
"1011",141185,2,3
"1012",141237,2,3
"1013",141255,1,2
"1014",141264,1,4
"1015",141307,1,2
"1016",141325,2,4
"1017",141334,1,4
"1018",141361,2,2
"1019",141468,3,2
"1020",141486,2,4
"1021",141565,1,4
"1022",141574,1,4
"1023",141608,3,1
"1024",141644,2,4
"1025",141680,1,2
"1026",141796,1,2
"1027",141802,1,2
"1028",141811,1,2
"1029",141839,1,3
"1030",141848,3,1
"1031",141936,2,4
"1032",141945,3,1
"1033",141981,1,3
"1034",141990,1,2
"1035",142054,3,2
"1036",142090,2,3
"1037",142115,1,4
"1038",142179,1,2
"1039",142276,1,4
"1040",142285,1,4
"1041",142294,2,4
"1042",142328,1,3
"1043",142337,3,3
"1044",142407,3,1
"1045",142416,3,1
"1046",142443,1,2
"1047",142461,2,4
"1048",142489,3,1
"1049",142522,2,3
"1050",142559,1,2
"1051",142832,2,4
"1052",142869,3,1
"1053",142878,3,1
"1054",142887,3,3
"1055",143048,2,4
"1056",143075,3,1
"1057",143084,2,3
"1058",143118,2,4
"1059",143181,3,1
"1060",143215,1,2
"1061",143233,2,4
"1062",143279,1,2
"1063",143288,2,3
"1064",143297,2,3
"1065",143303,2,1
"1066",143358,2,4
"1067",143376,3,1
"1068",143464,3,1
"1069",143473,3,1
"1070",143482,3,1
"1071",143491,3,1
"1072",143516,3,1
"1073",143534,3,1
"1074",143543,3,1
"1075",143552,3,1
"1076",143613,1,2
"1077",143659,2,4
"1078",143695,3,1
"1079",143853,2,4
"1080",143978,2,4
"1081",144005,1,4
"1082",144014,2,4
"1083",144050,2,4
"1084",144157,1,2
"1085",144166,1,2
"1086",144175,1,2
"1087",144184,1,2
"1088",144193,1,2
"1089",144209,1,2
"1090",144218,1,2
"1091",144281,2,4
"1092",144351,2,4
"1093",144467,3,2
"1094",144485,3,2
"1095",144564,1,2
"1096",144573,3,1
"1097",144616,3,1
"1098",144740,2,4
"1099",144759,3,4
"1100",144795,3,1
"1101",144865,1,2
"1102",144883,2,3
"1103",144892,1,4
"1104",144944,1,2
"1105",144962,2,4
"1106",144971,2,3
"1107",145099,3,1
"1108",145239,3,2
"1109",145275,2,4
"1110",145309,3,1
"1111",145336,1,4
"1112",145354,2,1
"1113",145372,2,4
"1114",145406,3,1
"1115",145424,3,1
"1116",145433,3,1
"1117",145460,3,4
"1118",145497,2,4
"1119",145521,1,2
"1120",145558,2,4
"1121",145600,1,4
"1122",145619,2,4
"1123",145628,2,4
"1124",145637,1,4
"1125",145646,2,3
"1126",145682,1,2
"1127",145691,2,3
"1128",145707,1,2
"1129",145725,2,4
"1130",145770,3,4
"1131",145813,1,4
"1132",145831,1,2
"1133",145886,2,4
"1134",146010,3,3
"1135",146205,1,2
"1136",146241,2,4
"1137",146278,1,2
"1138",146296,1,2
"1139",146339,2,4
"1140",146348,1,2
